,State,Year,Quarter,Pincode,Registered_users
285,Andhra Pradesh,2019,3,516001,84693
286,Andhra Pradesh,2019,3,530026,74501
287,Andhra Pradesh,2019,3,516360,73267
288,Andhra Pradesh,2019,3,520010,72722
289,Andhra Pradesh,2019,3,524002,69783
290,Andhra Pradesh,2019,4,517501,136436
291,Andhra Pradesh,2019,4,517507,119146
292,Andhra Pradesh,2019,4,530016,106404
293,Andhra Pradesh,2019,4,515001,102848
294,Andhra Pradesh,2019,4,516001,94209
295,Andhra Pradesh,2019,4,518002,94193
296,Andhra Pradesh,2019,4,516360,81619
297,Andhra Pradesh,2019,4,530026,81191
298,Andhra Pradesh,2019,4,520010,79453
299,Andhra Pradesh,2019,4,524002,77681
300,Andhra Pradesh,2020,1,517501,146823
301,Andhra Pradesh,2020,1,517507,129214
302,Andhra Pradesh,2020,1,530016,114042
303,Andhra Pradesh,2020,1,515001,111359
304,Andhra Pradesh,2020,1,518002,102905
305,Andhra Pradesh,2020,1,516001,102893
306,Andhra Pradesh,2020,1,516360,89774
307,Andhra Pradesh,2020,1,530026,87449
308,Andhra Pradesh,2020,1,524002,85878
309,Andhra Pradesh,2020,1,520010,85779
310,Andhra Pradesh,2020,2,517501,156221
311,Andhra Pradesh,2020,2,517507,138735
312,Andhra Pradesh,2020,2,530016,120621
313,Andhra Pradesh,2020,2,515001,119223
314,Andhra Pradesh,2020,2,518002,112673
315,Andhra Pradesh,2020,2,516001,111898
316,Andhra Pradesh,2020,2,516360,98803
317,Andhra Pradesh,2020,2,524002,93834
318,Andhra Pradesh,2020,2,530026,93224
319,Andhra Pradesh,2020,2,520010,91299
320,Andhra Pradesh,2020,3,517501,166768
321,Andhra Pradesh,2020,3,517507,149001
322,Andhra Pradesh,2020,3,515001,128227
323,Andhra Pradesh,2020,3,530016,128059
324,Andhra Pradesh,2020,3,518002,121529
325,Andhra Pradesh,2020,3,516001,120997
326,Andhra Pradesh,2020,3,516360,108073
327,Andhra Pradesh,2020,3,524002,102103
328,Andhra Pradesh,2020,3,530026,99754
329,Andhra Pradesh,2020,3,520010,97752
330,Andhra Pradesh,2020,4,517501,178328
331,Andhra Pradesh,2020,4,517507,160062
332,Andhra Pradesh,2020,4,515001,137945
333,Andhra Pradesh,2020,4,530016,136049
334,Andhra Pradesh,2020,4,518002,130871
335,Andhra Pradesh,2020,4,516001,130500
336,Andhra Pradesh,2020,4,516360,117397
337,Andhra Pradesh,2020,4,524002,110746
338,Andhra Pradesh,2020,4,530026,106320
339,Andhra Pradesh,2020,4,520010,104956
340,Andhra Pradesh,2021,1,517501,190712
341,Andhra Pradesh,2021,1,517507,171417
342,Andhra Pradesh,2021,1,515001,147941
343,Andhra Pradesh,2021,1,530016,145206
344,Andhra Pradesh,2021,1,518002,140153
345,Andhra Pradesh,2021,1,516001,139840
346,Andhra Pradesh,2021,1,516360,126260
347,Andhra Pradesh,2021,1,524002,118730
348,Andhra Pradesh,2021,1,530026,113581
349,Andhra Pradesh,2021,1,520010,112324
350,Andhra Pradesh,2021,2,517501,203005
351,Andhra Pradesh,2021,2,517507,182425
352,Andhra Pradesh,2021,2,515001,157649
353,Andhra Pradesh,2021,2,530016,154509
354,Andhra Pradesh,2021,2,518002,149368
355,Andhra Pradesh,2021,2,516001,148851
356,Andhra Pradesh,2021,2,516360,134622
357,Andhra Pradesh,2021,2,524002,126459
358,Andhra Pradesh,2021,2,530026,120973
359,Andhra Pradesh,2021,2,520010,119561
360,Andhra Pradesh,2021,3,517501,216777
361,Andhra Pradesh,2021,3,517507,194860
362,Andhra Pradesh,2021,3,515001,168654
363,Andhra Pradesh,2021,3,530016,164812
364,Andhra Pradesh,2021,3,518002,159802
365,Andhra Pradesh,2021,3,516001,158891
366,Andhra Pradesh,2021,3,516360,144068
367,Andhra Pradesh,2021,3,524002,135136
368,Andhra Pradesh,2021,3,530026,129270
369,Andhra Pradesh,2021,3,520010,127618
370,Andhra Pradesh,2021,4,517501,230688
371,Andhra Pradesh,2021,4,517507,207174
372,Andhra Pradesh,2021,4,515001,179763
373,Andhra Pradesh,2021,4,530016,175300
374,Andhra Pradesh,2021,4,518002,170267
375,Andhra Pradesh,2021,4,516001,169158
376,Andhra Pradesh,2021,4,516360,153381
377,Andhra Pradesh,2021,4,524002,143764
378,Andhra Pradesh,2021,4,530026,137812
379,Andhra Pradesh,2021,4,520010,135719
380,Andhra Pradesh,2022,1,517501,243791
381,Andhra Pradesh,2022,1,517507,218905
382,Andhra Pradesh,2022,1,515001,190203
383,Andhra Pradesh,2022,1,530016,185094
384,Andhra Pradesh,2022,1,518002,180102
385,Andhra Pradesh,2022,1,516001,179007
386,Andhra Pradesh,2022,1,516360,162263
387,Andhra Pradesh,2022,1,524002,151939
388,Andhra Pradesh,2022,1,530026,145842
389,Andhra Pradesh,2022,1,520010,143308
390,Andhra Pradesh,2022,2,517501,256290
391,Andhra Pradesh,2022,2,517507,229983
392,Andhra Pradesh,2022,2,515001,200266
393,Andhra Pradesh,2022,2,530016,194513
394,Andhra Pradesh,2022,2,518002,189505
395,Andhra Pradesh,2022,2,516001,188295
396,Andhra Pradesh,2022,2,516360,170855
397,Andhra Pradesh,2022,2,524002,159834
398,Andhra Pradesh,2022,2,530026,153586
399,Andhra Pradesh,2022,2,520010,150546
400,Andhra Pradesh,2022,3,517501,269370
401,Andhra Pradesh,2022,3,517507,241720
402,Andhra Pradesh,2022,3,515001,210661
403,Andhra Pradesh,2022,3,530016,204230
404,Andhra Pradesh,2022,3,518002,199354
405,Andhra Pradesh,2022,3,516001,197910
406,Andhra Pradesh,2022,3,516360,179806
407,Andhra Pradesh,2022,3,524002,168015
408,Andhra Pradesh,2022,3,530026,161715
409,Andhra Pradesh,2022,3,520010,158071
410,Andhra Pradesh,2022,4,517501,282766
411,Andhra Pradesh,2022,4,517507,253314
412,Andhra Pradesh,2022,4,515001,221328
413,Andhra Pradesh,2022,4,530016,214155
414,Andhra Pradesh,2022,4,518002,209376
415,Andhra Pradesh,2022,4,516001,207725
416,Andhra Pradesh,2022,4,516360,188768
417,Andhra Pradesh,2022,4,524002,176415
418,Andhra Pradesh,2022,4,530026,169957
419,Andhra Pradesh,2022,4,520010,165734
420,Andhra Pradesh,2023,1,517501,295420
421,Andhra Pradesh,2023,1,517507,264456
422,Andhra Pradesh,2023,1,515001,231542
423,Andhra Pradesh,2023,1,530016,223726
424,Andhra Pradesh,2023,1,518002,219100
425,Andhra Pradesh,2023,1,516001,217104
426,Andhra Pradesh,2023,1,516360,197437
427,Andhra Pradesh,2023,1,524002,184419
428,Andhra Pradesh,2023,1,530026,177985
429,Andhra Pradesh,2023,1,520010,173156
430,Andhra Pradesh,2023,2,517501,306201
431,Andhra Pradesh,2023,2,517507,273955
432,Andhra Pradesh,2023,2,515001,240176
433,Andhra Pradesh,2023,2,530016,231775
434,Andhra Pradesh,2023,2,518002,227292
435,Andhra Pradesh,2023,2,516001,225126
436,Andhra Pradesh,2023,2,516360,204900
437,Andhra Pradesh,2023,2,524002,191332
438,Andhra Pradesh,2023,2,530026,184561
439,Andhra Pradesh,2023,2,520001,179439
440,Arunanchal Pradesh,2018,1,791110,2316
441,Arunanchal Pradesh,2018,1,791111,2203
442,Arunanchal Pradesh,2018,1,791113,1475
443,Arunanchal Pradesh,2018,1,791102,1471
444,Arunanchal Pradesh,2018,1,790104,1139
445,Arunanchal Pradesh,2018,1,791001,969
446,Arunanchal Pradesh,2018,1,791109,857
447,Arunanchal Pradesh,2018,1,792103,829
448,Arunanchal Pradesh,2018,1,792001,828
449,Arunanchal Pradesh,2018,1,790116,766
450,Arunanchal Pradesh,2018,2,791110,3488
451,Arunanchal Pradesh,2018,2,791111,3272
